nombre_cultivo,freq_2017,freq_2018,freq_2019,freq_2022,freq_2024,CATEGORIA_IPC,ES_CULTIVO_CORE_TESIS
pijuayo palmito,12,11,6,10,34,No alimentario / Excluir,0
piña,414,342,335,233,134,No alimentario / Excluir,0
piñon blanco,NA,1,1,NA,NA,No alimentario / Excluir,0
rosa,4,4,5,13,12,No alimentario / Excluir,0
ruda,90,81,76,67,39,No alimentario / Excluir,0
rye americano,10,19,16,5,44,No alimentario / Excluir,0
rye grass,2380,2588,2499,2446,5531,No alimentario / Excluir,0
sabila,4,5,10,8,13,No alimentario / Excluir,0
sachamango,12,16,10,1,1,No alimentario / Excluir,0
shapaja,16,3,2,NA,11,No alimentario / Excluir,0
shicashica,NA,NA,NA,1,2,No alimentario / Excluir,0
sicua,NA,NA,NA,3,NA,No alimentario / Excluir,0
siempre viva,NA,NA,NA,3,NA,No alimentario / Excluir,0
sinamillo,5,2,NA,3,NA,No alimentario / Excluir,0
sorgo escobero,5,4,8,1,10,No alimentario / Excluir,0
sorgo forrajero,61,62,71,46,49,No alimentario / Excluir,0
soya,11,12,23,23,11,No alimentario / Excluir,0
stevia,5,5,6,NA,1,No alimentario / Excluir,0
tabaco,3,9,15,12,1,No alimentario / Excluir,0
tara,623,565,536,546,1271,No alimentario / Excluir,0
tomate,146,141,111,102,160,No alimentario / Excluir,0
toquilla,1,NA,NA,NA,NA,No alimentario / Excluir,0
toronja,289,219,204,130,149,No alimentario / Excluir,0
trebol,1021,1030,1122,1086,2801,No alimentario / Excluir,0
vainilla,NA,NA,NA,NA,3,No alimentario / Excluir,0
vicia forrajera,5,13,15,NA,1,No alimentario / Excluir,0
vid,1170,1206,1085,827,1024,No alimentario / Excluir,0
yarina,3,NA,NA,NA,NA,No alimentario / Excluir,0
yunya grano verde,NA,NA,NA,1,NA,No alimentario / Excluir,0
arroz cascara,3052,3071,2721,2945,3828,Pan y cereales,0
avena grano,152,144,212,328,1129,Pan y cereales,0
cañihua,154,106,153,95,431,Pan y cereales,0
cebada grano,2185,2074,1966,1988,3607,Pan y cereales,0
centeno grano,6,4,5,6,15,Pan y cereales,0
chia,14,6,1,19,29,Pan y cereales,0
kanyu,NA,NA,NA,1,NA,Pan y cereales,0
kiwicha,43,37,46,55,30,Pan y cereales,0
maca,41,22,6,23,18,Pan y cereales,0
maiz amilaceo,9160,9682,9579,8451,12458,Pan y cereales,0
maiz choclo,1550,1514,1570,1654,1767,Pan y cereales,0
maiz morado,307,252,189,162,387,Pan y cereales,0
trigo,2249,2272,1857,2195,3606,Pan y cereales,0
