DEPARTANENTO,COD_DD,CATEGORIA,ANIO,IPC_ANUAL
MADRE DE DIOS,17,Pan y cereales,2024,134.5283333
MOQUEGUA,18,Frutas,2022,107.2066667
MOQUEGUA,18,Frutas,2024,123.5208333
MOQUEGUA,18,"Hortalizas, legumbres y tubérculos",2022,125.62
MOQUEGUA,18,"Hortalizas, legumbres y tubérculos",2024,143.1875
MOQUEGUA,18,Pan y cereales,2022,113.1283333
MOQUEGUA,18,Pan y cereales,2024,129.6758333
PASCO,19,Frutas,2022,103.9266667
PASCO,19,Frutas,2024,123.1316667
PASCO,19,"Hortalizas, legumbres y tubérculos",2022,125.1225
PASCO,19,"Hortalizas, legumbres y tubérculos",2024,133.3475
PASCO,19,Pan y cereales,2022,112.5633333
PASCO,19,Pan y cereales,2024,127.8775
PIURA,20,Frutas,2022,113.0541667
PIURA,20,Frutas,2024,123.6641667
PIURA,20,"Hortalizas, legumbres y tubérculos",2022,120.8325
PIURA,20,"Hortalizas, legumbres y tubérculos",2024,136.0433333
PIURA,20,Pan y cereales,2022,109.5708333
PIURA,20,Pan y cereales,2024,124.2433333
PUNO,21,Frutas,2022,107.5825
PUNO,21,Frutas,2024,123.7216667
PUNO,21,"Hortalizas, legumbres y tubérculos",2022,119.4683333
PUNO,21,"Hortalizas, legumbres y tubérculos",2024,134.6541667
PUNO,21,Pan y cereales,2022,115.1016667
PUNO,21,Pan y cereales,2024,133.1008333
SAN MARTÍN,22,Frutas,2022,108.6775
SAN MARTÍN,22,Frutas,2024,117.1308333
SAN MARTÍN,22,"Hortalizas, legumbres y tubérculos",2022,110.1141667
SAN MARTÍN,22,"Hortalizas, legumbres y tubérculos",2024,125.4225
SAN MARTÍN,22,Pan y cereales,2022,105.3225
SAN MARTÍN,22,Pan y cereales,2024,123.3575
TACNA,23,Frutas,2022,112.58
TACNA,23,Frutas,2024,134.0225
TACNA,23,"Hortalizas, legumbres y tubérculos",2022,119.7525
TACNA,23,"Hortalizas, legumbres y tubérculos",2024,138.4358333
TACNA,23,Pan y cereales,2022,114.385
TACNA,23,Pan y cereales,2024,131.5958333
TUMBES,24,Frutas,2022,114.2666667
TUMBES,24,Frutas,2024,112.7425
TUMBES,24,"Hortalizas, legumbres y tubérculos",2022,125.89
TUMBES,24,"Hortalizas, legumbres y tubérculos",2024,153.5591667
TUMBES,24,Pan y cereales,2022,106.4733333
TUMBES,24,Pan y cereales,2024,123.2583333
UCAYALI,25,Frutas,2022,114.7825
UCAYALI,25,Frutas,2024,115.04
UCAYALI,25,"Hortalizas, legumbres y tubérculos",2022,117.4016667
UCAYALI,25,"Hortalizas, legumbres y tubérculos",2024,129.755
UCAYALI,25,Pan y cereales,2022,108.9783333
UCAYALI,25,Pan y cereales,2024,118.135
