UBIGEO,N_MERCADOS_2017,N_MERCADOS_2022,N_MERCADOS_2023
040125,0,0,0
040126,2,2,2
040127,0,0,0
040128,2,2,2
040129,19,19,19
040201,2,2,2
040202,0,0,0
040203,0,0,0
040204,1,1,1
040205,0,0,0
040206,0,0,0
040208,1,1,1
040301,0,0,0
040302,0,0,0
040303,1,1,1
040304,0,0,0
040305,0,0,0
040306,0,0,0
040307,1,1,1
040308,0,0,0
040309,0,0,0
040310,0,0,0
040311,0,0,0
040312,0,0,0
040313,0,0,0
040401,1,1,1
040402,0,0,0
040403,0,0,0
040404,0,0,0
040405,0,0,0
040407,0,0,0
040408,0,0,0
040409,1,1,1
040410,0,0,0
040411,0,0,0
040412,0,0,0
040413,1,1,1
040414,0,0,0
040501,2,2,2
040501,2,2,2
040502,0,0,0
040503,0,0,0
040504,0,0,0
040505,1,1,1
040506,0,0,0
040507,0,0,0
040508,0,0,0
040509,0,0,0
040510,0,0,0
040511,0,0,0
040512,0,0,0
040513,0,0,0
040514,0,0,0
040517,0,0,0
040518,0,0,0
040519,0,0,0
040520,5,6,6
040520,5,6,6
040601,0,0,0
040602,0,0,0
040603,0,0,0
040604,0,0,0
040605,0,0,0
040606,0,0,0
040607,0,0,0
040608,0,0,0
040701,5,5,5
040702,1,1,1
040703,1,1,1
040704,1,1,1
040705,1,1,1
040706,1,1,1
040802,0,0,0
040803,0,0,0
040804,0,0,0
040805,0,0,0
040806,0,0,0
040807,0,0,0
040808,0,0,0
040809,0,0,0
040810,0,0,0
040811,0,0,0
050101,14,14,14
050102,0,0,0
050103,0,0,0
050104,1,1,1
050105,0,0,0
050106,0,0,0
050107,0,0,0
050108,1,1,1
050109,0,0,0
050110,2,2,2
050111,0,0,0
050112,0,0,0
050113,0,0,0
050114,0,0,0
050115,1,1,1
050116,1,1,1
050201,0,0,0
050202,0,0,0
050203,0,0,0
050204,0,0,0
050205,0,0,0
050206,0,0,0
050301,1,1,1
050302,0,0,0
050303,0,0,0
050304,0,0,0
050401,1,1,1
050402,0,0,0
050403,0,0,0
050404,0,0,0
050405,1,1,1
050406,0,0,0
050407,1,1,1
050408,0,0,0
050409,0,0,0
050410,0,0,0
050411,0,0,0
050412,0,0,0
050501,1,1,1
050502,0,0,0
050503,1,1,1
050504,0,0,0
050505,0,0,0
050506,0,0,0
050507,1,1,1
050508,1,1,1
050509,1,1,1
050510,0,0,0
050511,0,0,0
050601,3,3,3
050602,0,0,0
050603,1,1,1
050604,1,1,1
050605,0,0,0
050606,0,0,0
050607,0,0,0
050608,0,0,0
050609,0,0,0
050610,0,0,0
050611,0,0,0
050612,0,0,0
050613,0,0,0
050614,0,0,0
050615,0,0,0
050616,0,0,0
050617,0,0,0
050618,0,0,0
050619,0,0,0
050620,0,0,0
050621,0,0,0
050701,1,1,1
050702,0,0,0
050703,0,0,0
050704,0,0,0
050705,0,0,0
050706,0,0,0
050707,0,0,0
050708,0,0,0
050801,2,2,2
050802,0,0,0
050803,0,0,0
050804,0,0,0
050805,0,0,0
050806,0,0,0
050807,0,0,0
050808,0,0,0
050809,0,0,0
050810,0,0,0
050901,0,0,0
050902,0,0,0
050903,0,0,0
050904,0,0,0
050905,0,0,0
050906,0,0,0
050907,0,0,0
050908,0,0,0
050909,0,0,0
050910,0,0,0
050911,0,0,0
051001,0,0,0
051002,0,0,0
051004,0,0,0
051005,0,0,0
051006,0,0,0
051007,0,0,0
051008,0,0,0
051009,0,0,0
