UBIGEO,N_MERCADOS_2017,N_MERCADOS_2022,N_MERCADOS_2023
180302,0,0,0
180303,1,1,1
190101,3,3,3
190102,1,1,1
190103,1,1,1
190104,3,3,3
190105,0,0,0
190106,0,0,0
190107,1,1,1
190108,0,0,0
190109,1,1,1
190110,0,0,0
190111,0,0,0
190112,0,0,0
190113,2,2,2
190201,1,1,1
190202,0,0,0
190203,0,0,0
190204,0,0,0
190205,0,0,0
190206,0,0,0
190207,0,0,0
190208,0,0,0
190301,2,2,2
190302,0,0,0
190303,0,0,0
190304,1,1,1
190306,0,0,0
190307,2,2,2
200101,17,17,17
200104,3,3,3
200104,3,3,3
200105,1,1,1
200107,1,1,1
200107,1,1,1
200108,0,0,0
200109,2,2,2
200110,4,4,4
200111,1,1,1
200114,2,2,2
200115,1,1,1
200201,1,1,1
200202,0,0,0
200203,0,0,0
200204,0,0,0
200205,0,0,0
200206,0,0,0
200207,1,1,1
200208,0,0,0
200209,0,0,0
200210,1,1,1
200301,2,2,2
200302,0,0,0
200303,0,0,0
200304,1,1,1
200305,0,0,0
200306,0,0,0
200307,0,0,0
200308,0,0,0
200401,3,3,3
200402,1,1,1
200403,0,0,0
200404,1,1,1
200405,1,1,1
200406,0,0,0
200407,0,0,0
200408,0,0,0
200409,1,1,1
200410,0,0,0
200501,2,2,2
200502,1,1,1
200503,0,0,0
200504,2,2,2
200505,1,1,1
200506,2,2,2
200601,2,2,2
200602,2,2,2
200603,1,1,1
200603,1,1,1
200604,0,0,0
200605,0,0,0
200606,0,0,0
200607,1,1,1
200608,0,0,0
200701,4,4,4
200702,1,1,1
200702,1,1,1
200703,1,1,1
200704,0,0,0
200705,1,1,1
200706,1,1,1
200706,1,1,1
200801,5,5,5
200802,0,0,0
200803,1,1,1
200804,0,0,0
200805,1,1,1
200806,0,0,0
210101,5,5,5
210102,1,1,1
210103,0,0,0
210104,0,0,0
210105,1,1,1
210106,0,0,0
210107,0,0,0
210109,0,0,0
210110,0,1,1
210110,0,1,1
210111,0,0,0
210112,0,0,0
210113,0,0,0
210114,0,0,0
210115,0,0,0
210201,2,2,2
210202,0,0,0
210203,1,1,1
210204,0,0,0
210205,0,0,0
210206,0,0,0
210207,0,0,0
210208,0,0,0
210209,1,1,1
210210,0,0,0
210211,1,1,1
210212,1,1,1
210213,0,0,0
210214,0,0,0
210215,0,0,0
210301,1,1,1
210302,0,0,0
210303,1,1,1
210304,0,0,0
210305,0,0,0
210306,0,0,0
210307,0,0,0
210308,1,1,1
210309,1,1,1
210310,0,0,0
210401,1,1,1
210402,1,1,1
210403,0,0,0
210404,1,1,1
210405,0,0,0
210406,0,0,0
210407,1,1,1
210501,1,1,1
210502,0,0,0
210503,1,1,1
210504,1,1,1
210505,0,0,0
210601,1,1,1
210602,0,0,0
210603,0,0,0
210604,0,0,0
210605,1,1,1
210606,0,0,0
210607,0,0,0
210608,0,0,0
210701,1,1,1
210702,0,0,0
210703,0,0,0
210704,0,0,0
210705,0,0,0
210706,0,0,0
210707,0,0,0
210708,0,0,0
210709,0,0,0
210710,0,0,0
210801,1,1,1
210802,0,0,0
210803,0,0,0
210804,0,0,0
210805,0,0,0
210806,0,0,0
210807,0,0,0
210808,0,0,0
210809,0,0,0
210901,0,0,0
210902,0,0,0
210903,0,0,0
210904,0,0,0
211001,0,0,0
211002,1,1,1
211003,0,0,0
211004,0,0,0
211005,0,0,0
211101,13,13,13
211103,1,1,1
211104,0,0,0
211105,1,1,1
211201,1,1,1
211202,0,0,0
211203,1,1,1
211204,1,1,1
211204,1,1,1
211206,0,0,0
211207,0,0,1
211207,0,0,1
211208,1,1,1
211209,0,0,0
211210,1,1,1
211301,1,1,1
211302,0,0,0
211303,0,0,0
211304,0,0,0
211305,0,0,0
211306,0,0,0
211307,0,0,0
220101,6,6,6
220102,0,0,0
220103,0,0,0
220104,1,1,1
220105,1,1,1
220106,0,0,0
220201,4,4,4
220202,0,0,0
220203,0,0,0
220204,0,0,0
220205,0,0,0
220206,0,0,0
220301,1,1,1
220302,0,0,0
220303,1,1,1
220304,0,0,0
220305,0,0,0
220401,1,1,1
220402,0,0,0
220403,0,0,0
220404,0,0,0
220405,0,0,0
220406,0,0,0
220501,1,1,1
220502,0,0,0
220503,0,0,0
220504,1,1,1
220505,0,0,0
220506,0,0,0
220507,0,0,0
220508,0,0,0
220509,0,0,0
220510,1,1,1
220511,0,0,0
220601,3,3,3
220602,0,0,0
220603,0,0,0
220604,0,0,0
220605,0,0,0
220701,1,1,1
220702,0,0,0
220703,0,0,0
220704,0,0,0
220705,1,1,1
220706,0,0,0
220707,1,1,1
220708,0,0,0
220709,0,0,0
220710,0,0,0
220801,2,2,2
220802,0,0,0
220803,3,3,3
220804,2,2,2
220805,1,1,1
220806,0,0,0
220807,1,1,1
220808,0,0,0
220809,1,1,1
220901,5,5,5
220902,0,0,0
220903,0,0,0
220904,1,1,1
220905,0,0,0
220906,0,0,0
220907,0,0,0
220908,0,0,0
220909,1,1,1
220910,0,0,0
220911,0,0,0
220912,0,0,0
220913,1,1,1
220914,0,0,0
221001,2,2,2
221002,1,1,1
221003,0,0,0
221004,0,0,0
221005,1,1,1
230101,13,13,13
230102,4,4,4
230103,0,0,0
230104,4,4,4
230105,0,0,0
230106,0,0,0
230107,0,0,0
230108,4,4,4
230109,4,4,4
230110,8,8,8
230111,0,0,0
230201,1,1,1
230202,0,0,0
230203,0,0,0
230204,0,0,0
230205,0,0,0
230206,0,0,0
230301,1,1,1
230302,2,2,2
230303,1,1,1
230401,1,1,1
230402,0,0,0
230403,0,0,0
230404,0,0,0
230405,0,0,0
230406,0,0,0
230407,0,0,0
240101,3,3,3
240101,3,3,3
240102,1,1,1
240103,1,1,1
240104,1,1,1
240105,0,0,0
240106,0,0,0
240201,1,1,1
240202,0,0,0
240203,1,1,1
240301,1,1,1
240302,1,1,1
240303,0,0,0
240304,0,0,0
250101,8,8,8
250102,1,1,1
250103,1,1,1
250104,0,0,0
250105,1,1,1
250106,1,1,1
250107,3,3,3
250201,2,2,2
250202,0,0,0
250203,1,1,1
250204,0,0,0
250301,4,4,4
250302,1,1,1
250303,1,1,1
250304,1,1,1
250305,1,1,1
250401,1,1,1
