ANIO,UBIGEO,UBIGEO_DISTRITO,TIPO_PROYECTO,TIPO_MERCADO,NOMBRE_TIPO_MERCADO,N MERCADOS,INVERSION,NOMBRE_MERCADO,CUIN,DESCRIPCION PROYECTO
2013,080401,080401 CUSCO_CALCA_CALCA,Nuevo Mercado,3,Mixto,3,"549,988.00",MERCADO PEQUEÐOS PRODUCTORES EN EL SECTOR SAN JOSE  DE URCO,2108564,"CONSTRUCCION DEL MERCADO PEQUEÐOS PRODUCTORES EN EL SECTOR SAN JOSE  DE URCO, DISTRITO DE CALCA, PROVINCIA DE CALCA - CUSCO"
2013,211204,211204 PUNO_SANDIA_PATAMBUCO,Nuevo Mercado,2,Minorista,1,"148,500.00","MERCADO DE PATAMBUCO,",2134394,"CONSTRUCCION DEL MERCADO DE PATAMBUCO, DISTRITO DE PATAMBUCO - SANDIA - PUNO"
2014,060601,060601 CAJAMARCA_CUTERVO_CUTERVO,Nuevo Mercado,3,Mixto,4,"352,222.00",MERCADO DE ABASTOS DEL C.P. MAMABAMBA,2120281,"CONSTRUCCION DE MERCADO DE ABASTOS DEL C.P. MAMABAMBA, PROVINCIA DE CUTERVO - CAJAMARCA"
2014,060601,060601 CAJAMARCA_CUTERVO_CUTERVO,Nuevo Mercado,2,Minorista,4,"402,311.83",MERCADO DE ABASTOS EN EL CENTRO POBLADO SINCHIMACHE,2219344,"CREACION DEL MERCADO DE ABASTOS EN EL CENTRO POBLADO SINCHIMACHE, DISTRITO CUTERVO, PROVINCIA DE CUTERVO - CAJAMARCA"
2014,060102,060102 CAJAMARCA_CAJAMARCA_ASUNCION,Nuevo Mercado,2,Minorista,1,"3,663,445.42",MERCADO MUNICIPAL DE ASUNCION,2219346,"CREACION DEL MERCADO MUNICIPAL DE ASUNCION, DISTRITO DE ASUNCION - CAJAMARCA - CAJAMARCA"
2014,130202,130202 LA LIBERTAD_ASCOPE_CHICAMA,Mejora,2,Minorista,3,"2,049,985.64",MERCADO DE ABASTOS CHICAMA,2185348,"MEJORAMIENTO DEL MERCADO MUNICIPAL DEL CENTRO POBLADO  SAUSAL, DISTRITO DE CHICAMA - ASCOPE - LA LIBERTAD"
2014,060401,060401 CAJAMARCA_CHOTA_CHOTA,Mejora,2,Minorista,2,"39,884.00",MERCADO MODELO DE CHOTA,2130533,"MEJORAMIENTO MERCADO CENTRAL MUNICIPAL, EN LA CIUDAD DE CHOTA, PROVINCIA DE CHOTA - CAJAMARCA"
2014,140118,140118 LAMBAYEQUE_CHICLAYO_POMALCA,Mejora,2,Minorista,1,"83,026.72",MERCADO ABASTO DE LA LOCALIDAD POMALCA,2191964,"MEJORAMIENTO DE LAS INSTALACIONES DEL MERCADO ABASTO DE LA LOCALIDAD POMALCA, DISTRITO DE POMALCA - CHICLAYO - LAMBAYEQUE"
2014,030602,030602 APURIMAC_CHINCHEROS_ANCO_HUALLO,Mejora,3,Mixto,1,"5,223,433.80",MERCADO DE ABASTOS DE URIPA,2147900,"MEJORAMIENTO E  INSTALACION DE LOS SERVICIOS DE ATENCION EN EL MERCADO DE ABASTOS DE URIPA, DISTRITO DE ANCO_HUALLO - CHINCHEROS - APURIMAC"
2015,060417,060417 CAJAMARCA_CHOTA_TACABAMBA,Mejora,2,Minorista,1,"168,579.56",MERCADO DE TACABAMBA,2161196,"MEJORAMIENTO DEL SERVICIO DE ABASTECIMIENTO Y COMERCIALIZACION DE PRODUCTOS DEL MERCADO DE TACABAMBA , DISTRITO DE TACABAMBA - CHOTA - CAJAMARCA"
2015,080903,080903 CUSCO_LA CONVENCION_HUAYOPATA,Mejora,2,Minorista,1,"3,848,521.00",MERCADO DE ABASTOS EN EL CENTRO POBLADO DE HUYRO,2111107,"CONSTRUCCION DE LA INFRAESTRUCTURA DEL MERCADO DE ABASTOS EN EL CENTRO POBLADO DE HUYRO, DISTRITO DE HUAYOPATA - LA CONVENCION - CUSCO"
2015,200702,200702 PIURA_TALARA_EL ALTO,Mejora,2,Minorista,1,"9,808,947.09",MERCADO DE ABASTOS MUNICIPAL DE LA CIUDAD EL ALTO,2185934,"MEJORAMIENTO DEL MERCADO DE ABASTOS MUNICIPAL DE LA CIUDAD EL ALTO, DISTRITO DE EL ALTO - TALARA - PIURA"
2015,080901,080901 CUSCO_LA CONVENCION_SANTA ANA,Mejora,2,Minorista,2,"5,353,327.00",MERCADO MODELO DE LA CIUDAD DE QUILLABAMBA,2106186,"MEJORAMIENTO DEL MERCADO MODELO DE LA CIUDAD DE QUILLABAMBA, DISTRITO DE SANTA ANA, PROVINCIA DE LA CONVENCION - CUSCO"
2016,080801,080801 CUSCO_ESPINAR_ESPINAR,Mejora,2,Minorista,1,"11,160,799.74",MERCADO CENTRAL DE ESPINAR,2153277,"MEJORAMIENTO DE LAS CONDICIONES DEL SERVICIO DE COMERCIALIZACION DE PRODUCTOS DE LA CANASTA BASICA MEDIANTE LA REMODELACION DEL MERCADO CENTRAL EULOGIO N. ALVAREZ AGUILAR DE LA CIUDAD ESPINAR, PROVINCIA DE ESPINAR - CUSCO"
