ANIO,UBIGEO,UBIGEO_DISTRITO,TIPO_PROYECTO,TIPO_MERCADO,NOMBRE_TIPO_MERCADO,N MERCADOS,INVERSION,NOMBRE_MERCADO,CUIN,DESCRIPCION PROYECTO
2021,090201,090201 HUANCAVELICA_ACOBAMBA_ACOBAMBA,Mejora,3,Mixto,1,"4,911,996.50",MERCADO CHANIN,2498790,Mejoramiento del servicio de comercialización
2022,060201,060201 CAJAMARCA_CAJABAMBA_CAJABAMBA,Nuevo Mercado,1,Mayorista,1,"2,510,652.32",SUPERMERCADO MUNICIPAL PAMPA CHICA,2486713,"Adquisición de contenedores de residuos sólidos, construcción de cámara de frigorífico."
2022,140110,140110 LAMBAYEQUE_CHICLAYO_OYOTUN,Mejora,2,Minorista,1,"500,000.00",MERCADO DE ABASTOS OYOTUN,2175850,"MEJORAMIENTO DEL MERCADO DE ABASTOS DE LA LOCALIDAD DE OYOTUN, DISTRITO DE OYOTUN - CHICLAYO - LAMBAYEQUE"
2022,140110,140110 LAMBAYEQUE_CHICLAYO_OYOTUN,Mejora,2,Minorista,1,"26,575.00",MERCADO DE ABASTOS OYOTUN,2152576,"MEJORAMIENTO DEL MERCADO DE ABASTOS OYOTUN, DISTRITO DE OYOTUN - CHICLAYO - LAMBAYEQUE"
2022,040123,040123 AREQUIPA_AREQUIPA_TIABAYA,Mejora,3,Mixto,1,"358,296.30",MERCADO MUNICIPAL,2186226,"MEJORAMIENTO DEL MERCADO MUNICIPAL, DISTRITO DE TIABAYA - AREQUIPA - AREQUIPA"
2022,140102,140102 LAMBAYEQUE_CHICLAYO_CHONGOYAPE,Mejora,2,Minorista,1,"7,986,010.66",MERCADO MODELO DE CHONGOYAPE,2499326,Mejoramiento del servicio de comercialización
2022,140102,140102 LAMBAYEQUE_CHICLAYO_CHONGOYAPE,Mejora,2,Minorista,1,"7,830,798.66",MERCADO MODELO DE CHONGOYAPE,2499326,Mejoramiento del Servicio de Comercialización del Mercado Modelo de Chongoyape
2023,040124,040124 AREQUIPA_AREQUIPA_UCHUMAYO,Nuevo Mercado,3,Mixto,1,"4,610,386.47",MERCADO DE ABASTOS EN UPIS EL CARMEN DE CONGATA,2246539,"CREACION DE MERCADO DE ABASTOS EN UPIS EL CARMEN DE CONGATA, DISTRITO DE UCHUMAYO - AREQUIPA - AREQUIPA"
2023,211207,211207 PUNO_SANDIA_SAN JUAN DEL ORO,Nuevo Mercado,3,Mixto,1,"7,968,179.33",MERCADO DE ABASTOS EN LA LOCALIDAD DE SAN JUAN DEL ORO DEL,2155872,"CREACION DEL MERCADO DE ABASTOS EN LA LOCALIDAD DE SAN JUAN DEL ORO DEL, DISTRITO DE SAN JUAN DEL ORO - SANDIA - PUNO"
2023,240101,240101 TUMBES_TUMBES_TUMBES,Mejora,2,Minorista,3,"102,209.80",MERCADO 8 DE SETIEMBRE,2492466,Mejoramiento y Ampliación del Servicio de Comercialización del Mercado 8 de Setiembre
2023,200104,200104 PIURA_PIURA_CASTILLA,Mejora,2,Minorista,3,"5,038,316.00","MERCADO DE CASTILLA, DISTRITO DE CASTILLA",2154296,"REHABILITACION Y MEJORAMIENTO DEL MERCADO DE CASTILLA, DISTRITO DE CASTILLA - PIURA - PIURA"
2024,080902,080902 CUSCO_LA CONVENCION_ECHARATE,Nuevo Mercado,3,Mixto,2,"4,927,553.28",MERCADO MUNICIPAL DEL CENTRO POBLADO DE KEPASHIATO,2133037,"CONSTRUCCION DEL MERCADO MUNICIPAL DEL CENTRO POBLADO DE KEPASHIATO, DISTRITO DE ECHARATE - LA CONVENCION - CUSCO"
2024,080101,080101 CUSCO_CUSCO_CUSCO,Mejora,3,Mixto,8,"40,983,975.73",MERCADO CASCCAPARO,2551511,Mejoramiento y Ampliación del Servicio de Accesibilidad a la Adquisición de Productos de Primera Necesidad del Mercado de Abastos de Ccasccaparo
2024,040501,040501 AREQUIPA_CAYLLOMA_CHIVAY,Mejora,2,Minorista,2,"4,963,822.00",MERCADO EL PORVENIR,2217563,"AMPLIACION, MEJORAMIENTO DEL MERCADO DE ABASTOS EN EL DISTRITO DE CHIVAY, PROVINCIA DE CAYLLOMA - AREQUIPA"
2024,140113,140113 LAMBAYEQUE_CHICLAYO_REQUE,Mejora,2,Minorista,1,"16,189,547.86",MERCADO DE ABASTOS,2539059,Mejoramiento del Servicio de Comercialización de Mercado de Abastos de la Ciudad de Reque
2024,200603,200603 PIURA_SULLANA_IGNACIO ESCUDERO,Mejora,3,Mixto,1,"11,514,218.74",MERCADO DE ABASTOS,2500154,Mejoramiento del Servicio de Comercialización del Mercado de Abastos San Jacinto
2024,090101,090101 HUANCAVELICA_HUANCAVELICA_HUANCAVELICA,Mejora,2,Minorista,1,"11,126,480.49",MERCADO DE ABASTOS DE HUANCAVELICA,2217379,Ampliación y Mejoramiento del Mercado de Abastos del Distrito de Huancavelica
2024,130109,130109 LA LIBERTAD_TRUJILLO_SALAVERRY,Mejora,2,Minorista,1,"11,872,699.48",MERCADO DE ABASTOS SALAVERRY,2518601,Mejoramiento y Ampliación del Servicio de Comercialización del Mercado de Abastos de Salaverry
2024,180104,180104 MOQUEGUA_MARISCAL NIETO_SAMEGUA,Mejora,2,Minorista,1,"4,764,282.47",MERCADO DE SAMEGUA,2501098,Mejoramiento del Servicio de Comercialización del Mercado de Abastos Samegua
2024,080708,080708 CUSCO_CHUMBIVILCAS_VELILLE,Mejora,2,Minorista,1,"10,564,776.79",MERCADO MODELO DE VELILLE,2526980,Mejoramiento de los Servicios de Comercialización en el Mercado de Abastos de Velille
2024,120129,120129 JUNIN_HUANCAYO_SAN AGUSTIN,Mejora,2,Minorista,1,"11,853,789.08",MERCADO SAN AGUSTIN DE CAJAS,2499852,Mejoramiento y Ampliación del Servicio de Comercialización del Mercado de Abastos
