intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",3,maiz amarillo duro,18,13,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",4,culantro,15,0,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2023,15,240101,"TUMBES (TUMBES, TUMBES)",5,yuca,13,4,8,"TUMBES (TUMBES, TUMBES) || CORRALES (TUMBES, TUMBES) || PAMPAS DE HOSPITAL (TUMBES, TUMBES) || SAN JACINTO (TUMBES, TUMBES) || SAN JUAN DE LA VIRGEN (TUMBES, TUMBES) || ZARUMILLA (ZARUMILLA, TUMBES) || MATAPALO (ZARUMILLA, TUMBES) || PAPAYAL (ZARUMILLA, TUMBES)"
Intervención 2024,15,040501,"CHIVAY (CAYLLOMA, AREQUIPA)",1,maiz amilaceo,29,59,8,"CHIVAY (CAYLLOMA, AREQUIPA) || ACHOMA (CAYLLOMA, AREQUIPA) || CALLALLI (CAYLLOMA, AREQUIPA) || COPORAQUE (CAYLLOMA, AREQUIPA) || ICHUPAMPA (CAYLLOMA, AREQUIPA) || SIBAYO (CAYLLOMA, AREQUIPA) || TUTI (CAYLLOMA, AREQUIPA) || YANQUE (CAYLLOMA, AREQUIPA)"
Intervención 2024,15,040501,"CHIVAY (CAYLLOMA, AREQUIPA)",2,haba grano verde,16,34,8,"CHIVAY (CAYLLOMA, AREQUIPA) || ACHOMA (CAYLLOMA, AREQUIPA) || CALLALLI (CAYLLOMA, AREQUIPA) || COPORAQUE (CAYLLOMA, AREQUIPA) || ICHUPAMPA (CAYLLOMA, AREQUIPA) || SIBAYO (CAYLLOMA, AREQUIPA) || TUTI (CAYLLOMA, AREQUIPA) || YANQUE (CAYLLOMA, AREQUIPA)"
Intervención 2024,15,040501,"CHIVAY (CAYLLOMA, AREQUIPA)",3,papa blanca,16,37,8,"CHIVAY (CAYLLOMA, AREQUIPA) || ACHOMA (CAYLLOMA, AREQUIPA) || CALLALLI (CAYLLOMA, AREQUIPA) || COPORAQUE (CAYLLOMA, AREQUIPA) || ICHUPAMPA (CAYLLOMA, AREQUIPA) || SIBAYO (CAYLLOMA, AREQUIPA) || TUTI (CAYLLOMA, AREQUIPA) || YANQUE (CAYLLOMA, AREQUIPA)"
Intervención 2024,15,040501,"CHIVAY (CAYLLOMA, AREQUIPA)",4,cebada grano,12,15,8,"CHIVAY (CAYLLOMA, AREQUIPA) || ACHOMA (CAYLLOMA, AREQUIPA) || CALLALLI (CAYLLOMA, AREQUIPA) || COPORAQUE (CAYLLOMA, AREQUIPA) || ICHUPAMPA (CAYLLOMA, AREQUIPA) || SIBAYO (CAYLLOMA, AREQUIPA) || TUTI (CAYLLOMA, AREQUIPA) || YANQUE (CAYLLOMA, AREQUIPA)"
Intervención 2024,15,040501,"CHIVAY (CAYLLOMA, AREQUIPA)",5,arveja grano verde,10,19,8,"CHIVAY (CAYLLOMA, AREQUIPA) || ACHOMA (CAYLLOMA, AREQUIPA) || CALLALLI (CAYLLOMA, AREQUIPA) || COPORAQUE (CAYLLOMA, AREQUIPA) || ICHUPAMPA (CAYLLOMA, AREQUIPA) || SIBAYO (CAYLLOMA, AREQUIPA) || TUTI (CAYLLOMA, AREQUIPA) || YANQUE (CAYLLOMA, AREQUIPA)"
Intervención 2024,15,080101,"CUSCO (CUSCO, CUSCO)",1,maiz amilaceo,335,332,21,"CUSCO (CUSCO, CUSCO) || CCORCA (CUSCO, CUSCO) || POROY (CUSCO, CUSCO) || SAN JERONIMO (CUSCO, CUSCO) || SAN SEBASTIAN (CUSCO, CUSCO) || SANTIAGO (CUSCO, CUSCO) || SAYLLA (CUSCO, CUSCO) || WANCHAQ (CUSCO, CUSCO) || ANTA (ANTA, CUSCO) || CACHIMAYO (ANTA, CUSCO) || PUCYURA (ANTA, CUSCO) || CALCA (CALCA, CUSCO) || COYA (CALCA, CUSCO) || LAMAY (CALCA, CUSCO) || PISAC (CALCA, CUSCO) || SAN SALVADOR (CALCA, CUSCO) || TARAY (CALCA, CUSCO) || HUANOQUITE (PARURO, CUSCO) || YAURISQUE (PARURO, CUSCO) || CHINCHERO (URUBAMBA, CUSCO) || HUAYLLABAMBA (URUBAMBA, CUSCO)"
Intervención 2024,15,080101,"CUSCO (CUSCO, CUSCO)",2,papa nativa,209,209,21,"CUSCO (CUSCO, CUSCO) || CCORCA (CUSCO, CUSCO) || POROY (CUSCO, CUSCO) || SAN JERONIMO (CUSCO, CUSCO) || SAN SEBASTIAN (CUSCO, CUSCO) || SANTIAGO (CUSCO, CUSCO) || SAYLLA (CUSCO, CUSCO) || WANCHAQ (CUSCO, CUSCO) || ANTA (ANTA, CUSCO) || CACHIMAYO (ANTA, CUSCO) || PUCYURA (ANTA, CUSCO) || CALCA (CALCA, CUSCO) || COYA (CALCA, CUSCO) || LAMAY (CALCA, CUSCO) || PISAC (CALCA, CUSCO) || SAN SALVADOR (CALCA, CUSCO) || TARAY (CALCA, CUSCO) || HUANOQUITE (PARURO, CUSCO) || YAURISQUE (PARURO, CUSCO) || CHINCHERO (URUBAMBA, CUSCO) || HUAYLLABAMBA (URUBAMBA, CUSCO)"
