intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ubigeo_vecino,distrito_vecino_completo,ranking,nombre_cultivo,freq_año_previo,freq_año_post
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",040520,"MAJES (CAYLLOMA, AREQUIPA)",3,palto,22,26
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",040520,"MAJES (CAYLLOMA, AREQUIPA)",4,higuera,19,15
Intervención 2018,15,040520,"MAJES (CAYLLOMA, AREQUIPA)",040520,"MAJES (CAYLLOMA, AREQUIPA)",5,cebolla,17,14
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040104,"CERRO COLORADO (AREQUIPA, AREQUIPA)",1,arveja grano verde,14,15
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040104,"CERRO COLORADO (AREQUIPA, AREQUIPA)",2,alfalfa,10,26
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040104,"CERRO COLORADO (AREQUIPA, AREQUIPA)",3,cebolla,7,7
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040104,"CERRO COLORADO (AREQUIPA, AREQUIPA)",4,fresa,4,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040104,"CERRO COLORADO (AREQUIPA, AREQUIPA)",5,papa blanca,4,14
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040107,"JACOBO HUNTER (AREQUIPA, AREQUIPA)",1,pasto natural manejado,5,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040107,"JACOBO HUNTER (AREQUIPA, AREQUIPA)",2,alfalfa,3,4
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040107,"JACOBO HUNTER (AREQUIPA, AREQUIPA)",3,maiz morado,2,2
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040107,"JACOBO HUNTER (AREQUIPA, AREQUIPA)",4,ajo,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040107,"JACOBO HUNTER (AREQUIPA, AREQUIPA)",5,arveja grano verde,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",1,alfalfa,18,23
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",2,maiz chala,9,27
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",3,zanahoria,8,6
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",4,papa blanca,7,8
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",5,papa color,7,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040117,"SACHACA (AREQUIPA, AREQUIPA)",1,ajo,11,8
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040117,"SACHACA (AREQUIPA, AREQUIPA)",2,huacatay,4,1
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040117,"SACHACA (AREQUIPA, AREQUIPA)",3,perejil,3,NA
