intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",4,platano,27,19,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2018,15,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",5,maracuya,21,5,12,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LA ESPERANZA (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || MOCHE (TRUJILLO, LA LIBERTAD) || SALAVERRY (TRUJILLO, LA LIBERTAD) || SIMBAL (TRUJILLO, LA LIBERTAD) || VICTOR LARCO HERRERA (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD) || CHICAMA (ASCOPE, LA LIBERTAD)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",1,alfalfa,90,182,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",2,cebolla,43,41,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",3,papa blanca,30,50,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",4,ajo,29,16,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",5,arveja grano verde,27,25,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",1,mango,70,88,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",2,limon acido,62,89,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
Intervención 2023,15,200104,"CASTILLA (PIURA, PIURA)",3,arroz cascara,47,38,4,"PIURA (PIURA, PIURA) || CASTILLA (PIURA, PIURA) || CATACAOS (PIURA, PIURA) || TAMBO GRANDE (PIURA, PIURA)"
