intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",4,arveja grano verde,27,25,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",5,zanahoria,22,33,12,"AREQUIPA (AREQUIPA, AREQUIPA) || CERRO COLORADO (AREQUIPA, AREQUIPA) || JACOBO HUNTER (AREQUIPA, AREQUIPA) || LA JOYA (AREQUIPA, AREQUIPA) || SACHACA (AREQUIPA, AREQUIPA) || SOCABAYA (AREQUIPA, AREQUIPA) || TIABAYA (AREQUIPA, AREQUIPA) || UCHUMAYO (AREQUIPA, AREQUIPA) || VITOR (AREQUIPA, AREQUIPA) || YANAHUARA (AREQUIPA, AREQUIPA) || YARABAMBA (AREQUIPA, AREQUIPA) || YURA (AREQUIPA, AREQUIPA)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",1,mandarina,151,14,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",2,coca,72,28,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",3,pituca,24,1,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",4,rocoto,19,0,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",5,lima,7,0,4,"SAN JUAN DEL ORO (SANDIA, PUNO) || YANAHUAYA (SANDIA, PUNO) || ALTO INAMBARI (SANDIA, PUNO) || SAN PEDRO DE PUTINA PUNCO (SANDIA, PUNO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",1,maiz amarillo duro,11,20,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",2,yuca,10,18,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",3,achiote,6,16,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",4,coca,5,0,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
Intervención 2024,15,080902,"ECHARATE (LA CONVENCION, CUSCO)",5,uncucha,4,0,3,"ECHARATE (LA CONVENCION, CUSCO) || QUELLOUNO (LA CONVENCION, CUSCO) || MEGANTONI (LA CONVENCION, CUSCO)"
