intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2018,5,020108,"OLLEROS (HUARAZ, ANCASH)",1,papa blanca,13,13,1,"OLLEROS (HUARAZ, ANCASH)"
Intervención 2018,5,020108,"OLLEROS (HUARAZ, ANCASH)",2,trigo,11,12,1,"OLLEROS (HUARAZ, ANCASH)"
Intervención 2018,5,020108,"OLLEROS (HUARAZ, ANCASH)",3,haba grano seco,9,10,1,"OLLEROS (HUARAZ, ANCASH)"
Intervención 2018,5,020108,"OLLEROS (HUARAZ, ANCASH)",4,alfalfa,3,7,1,"OLLEROS (HUARAZ, ANCASH)"
Intervención 2018,5,020108,"OLLEROS (HUARAZ, ANCASH)",5,arveja grano verde,2,5,1,"OLLEROS (HUARAZ, ANCASH)"
Intervención 2018,5,040520,"MAJES (CAYLLOMA, AREQUIPA)",1,maiz chala,125,121,1,"MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,5,040520,"MAJES (CAYLLOMA, AREQUIPA)",2,alfalfa,57,37,1,"MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,5,040520,"MAJES (CAYLLOMA, AREQUIPA)",3,palto,22,26,1,"MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,5,040520,"MAJES (CAYLLOMA, AREQUIPA)",4,higuera,19,15,1,"MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,5,040520,"MAJES (CAYLLOMA, AREQUIPA)",5,cebolla,17,14,1,"MAJES (CAYLLOMA, AREQUIPA)"
Intervención 2018,5,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",1,maiz chala,24,19,6,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD)"
Intervención 2018,5,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",2,palto,22,13,6,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD)"
Intervención 2018,5,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",3,pacae,18,4,6,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD)"
Intervención 2018,5,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",4,maracuya,15,4,6,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD)"
Intervención 2018,5,130102,"EL PORVENIR (TRUJILLO, LA LIBERTAD)",5,platano,15,8,6,"TRUJILLO (TRUJILLO, LA LIBERTAD) || EL PORVENIR (TRUJILLO, LA LIBERTAD) || FLORENCIA DE MORA (TRUJILLO, LA LIBERTAD) || HUANCHACO (TRUJILLO, LA LIBERTAD) || LAREDO (TRUJILLO, LA LIBERTAD) || ALTO TRUJILLO (TRUJILLO, LA LIBERTAD)"
Intervención 2019,5,061101,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA)",1,trigo,27,10,4,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA) || EL PRADO (SAN MIGUEL, CAJAMARCA) || SAN PABLO (SAN PABLO, CAJAMARCA) || SAN LUIS (SAN PABLO, CAJAMARCA)"
Intervención 2019,5,061101,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA)",2,arveja grano seco,24,5,4,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA) || EL PRADO (SAN MIGUEL, CAJAMARCA) || SAN PABLO (SAN PABLO, CAJAMARCA) || SAN LUIS (SAN PABLO, CAJAMARCA)"
Intervención 2019,5,061101,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA)",3,maiz amilaceo,21,17,4,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA) || EL PRADO (SAN MIGUEL, CAJAMARCA) || SAN PABLO (SAN PABLO, CAJAMARCA) || SAN LUIS (SAN PABLO, CAJAMARCA)"
Intervención 2019,5,061101,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA)",4,papa blanca,12,5,4,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA) || EL PRADO (SAN MIGUEL, CAJAMARCA) || SAN PABLO (SAN PABLO, CAJAMARCA) || SAN LUIS (SAN PABLO, CAJAMARCA)"
Intervención 2019,5,061101,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA)",5,chirimoyo,10,0,4,"SAN MIGUEL (SAN MIGUEL, CAJAMARCA) || EL PRADO (SAN MIGUEL, CAJAMARCA) || SAN PABLO (SAN PABLO, CAJAMARCA) || SAN LUIS (SAN PABLO, CAJAMARCA)"
Intervención 2019,5,080910,"PICHARI (LA CONVENCION, CUSCO)",1,platano,37,6,2,"PICHARI (LA CONVENCION, CUSCO) || UNION ASHANINKA (LA CONVENCION, CUSCO)"
Intervención 2019,5,080910,"PICHARI (LA CONVENCION, CUSCO)",2,cacao,30,13,2,"PICHARI (LA CONVENCION, CUSCO) || UNION ASHANINKA (LA CONVENCION, CUSCO)"
Intervención 2019,5,080910,"PICHARI (LA CONVENCION, CUSCO)",3,coca,28,5,2,"PICHARI (LA CONVENCION, CUSCO) || UNION ASHANINKA (LA CONVENCION, CUSCO)"
Intervención 2019,5,080910,"PICHARI (LA CONVENCION, CUSCO)",4,naranjo,24,5,2,"PICHARI (LA CONVENCION, CUSCO) || UNION ASHANINKA (LA CONVENCION, CUSCO)"
Intervención 2019,5,080910,"PICHARI (LA CONVENCION, CUSCO)",5,cocotero,9,0,2,"PICHARI (LA CONVENCION, CUSCO) || UNION ASHANINKA (LA CONVENCION, CUSCO)"
Intervención 2019,5,100604,"JOSE CRESPO Y CASTILLO (LEONCIO PRADO, HUANUCO)",1,platano,19,35,2,"JOSE CRESPO Y CASTILLO (LEONCIO PRADO, HUANUCO) || LA MORADA (MARAÑON, HUANUCO)"
