intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ubigeo_vecino,distrito_vecino_completo,ranking,nombre_cultivo,freq_año_previo,freq_año_post
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020109,"PAMPAS GRANDE (HUARAZ, ANCASH)",3,frijol canario grano seco,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020109,"PAMPAS GRANDE (HUARAZ, ANCASH)",4,lucumo,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020109,"PAMPAS GRANDE (HUARAZ, ANCASH)",5,maiz amarillo duro,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020110,"PARIACOTO (HUARAZ, ANCASH)",1,manzano,30,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020110,"PARIACOTO (HUARAZ, ANCASH)",2,palto,16,6
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020110,"PARIACOTO (HUARAZ, ANCASH)",3,mango,8,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020110,"PARIACOTO (HUARAZ, ANCASH)",4,maiz chala,6,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020110,"PARIACOTO (HUARAZ, ANCASH)",5,naranjo,6,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020111,"PIRA (HUARAZ, ANCASH)",1,alfalfa,19,18
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020111,"PIRA (HUARAZ, ANCASH)",2,arveja grano verde,11,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020111,"PIRA (HUARAZ, ANCASH)",3,papa blanca,9,13
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020111,"PIRA (HUARAZ, ANCASH)",4,trigo,8,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020111,"PIRA (HUARAZ, ANCASH)",5,pasto dactilys,7,18
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020201,"AIJA (AIJA, ANCASH)",1,papa blanca,7,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020201,"AIJA (AIJA, ANCASH)",2,alfalfa,6,14
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020201,"AIJA (AIJA, ANCASH)",3,cebada grano,5,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020201,"AIJA (AIJA, ANCASH)",4,haba grano seco,2,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020201,"AIJA (AIJA, ANCASH)",5,tarhui grano seco,2,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020203,"HUACLLAN (AIJA, ANCASH)",1,alfalfa,NA,9
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020203,"HUACLLAN (AIJA, ANCASH)",2,arveja grano seco,NA,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020203,"HUACLLAN (AIJA, ANCASH)",3,calabaza,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020203,"HUACLLAN (AIJA, ANCASH)",4,cebada grano,NA,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020203,"HUACLLAN (AIJA, ANCASH)",5,haba grano seco,NA,6
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020204,"LA MERCED (AIJA, ANCASH)",1,alfalfa,NA,11
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020204,"LA MERCED (AIJA, ANCASH)",2,arveja grano seco,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020204,"LA MERCED (AIJA, ANCASH)",3,cebada grano,NA,10
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020204,"LA MERCED (AIJA, ANCASH)",4,haba grano seco,NA,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020204,"LA MERCED (AIJA, ANCASH)",5,haba grano verde,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020504,"AQUIA (BOLOGNESI, ANCASH)",1,alfalfa,NA,38
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020504,"AQUIA (BOLOGNESI, ANCASH)",2,haba grano seco,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020504,"AQUIA (BOLOGNESI, ANCASH)",3,maiz amilaceo,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020504,"AQUIA (BOLOGNESI, ANCASH)",4,oca,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020504,"AQUIA (BOLOGNESI, ANCASH)",5,papa amarilla,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020508,"HUALLANCA (BOLOGNESI, ANCASH)",1,alfalfa,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020508,"HUALLANCA (BOLOGNESI, ANCASH)",2,avena forrajera,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020508,"HUALLANCA (BOLOGNESI, ANCASH)",3,pasto dactilys,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020508,"HUALLANCA (BOLOGNESI, ANCASH)",4,rye grass,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020508,"HUALLANCA (BOLOGNESI, ANCASH)",5,trebol,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020601,"CARHUAZ (CARHUAZ, ANCASH)",1,maiz choclo,16,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020601,"CARHUAZ (CARHUAZ, ANCASH)",2,pacae,7,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020601,"CARHUAZ (CARHUAZ, ANCASH)",3,lima,5,15
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020601,"CARHUAZ (CARHUAZ, ANCASH)",4,maiz chala,5,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020601,"CARHUAZ (CARHUAZ, ANCASH)",5,rye grass,5,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020602,"ACOPAMPA (CARHUAZ, ANCASH)",1,lima,8,6
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020602,"ACOPAMPA (CARHUAZ, ANCASH)",2,maiz choclo,8,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020602,"ACOPAMPA (CARHUAZ, ANCASH)",3,maiz chala,6,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020602,"ACOPAMPA (CARHUAZ, ANCASH)",4,alfalfa,4,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020602,"ACOPAMPA (CARHUAZ, ANCASH)",5,calabaza,3,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020604,"ANTA (CARHUAZ, ANCASH)",1,alfalfa,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020606,"MARCARA (CARHUAZ, ANCASH)",1,maiz amilaceo,36,32
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020606,"MARCARA (CARHUAZ, ANCASH)",2,papa blanca,22,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020606,"MARCARA (CARHUAZ, ANCASH)",3,trigo,16,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020606,"MARCARA (CARHUAZ, ANCASH)",4,alfalfa,4,11
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020606,"MARCARA (CARHUAZ, ANCASH)",5,calabaza,4,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020607,"PARIAHUANCA (CARHUAZ, ANCASH)",1,alfalfa,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020607,"PARIAHUANCA (CARHUAZ, ANCASH)",2,lima,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020607,"PARIAHUANCA (CARHUAZ, ANCASH)",3,maiz choclo,NA,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020607,"PARIAHUANCA (CARHUAZ, ANCASH)",4,melocotonero,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020607,"PARIAHUANCA (CARHUAZ, ANCASH)",5,membrillero,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020608,"SAN MIGUEL DE ACO (CARHUAZ, ANCASH)",1,maiz amilaceo,22,24
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020608,"SAN MIGUEL DE ACO (CARHUAZ, ANCASH)",2,papa blanca,13,13
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020608,"SAN MIGUEL DE ACO (CARHUAZ, ANCASH)",3,trigo,11,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020608,"SAN MIGUEL DE ACO (CARHUAZ, ANCASH)",4,alfalfa,5,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020608,"SAN MIGUEL DE ACO (CARHUAZ, ANCASH)",5,calabaza,4,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020609,"SHILLA (CARHUAZ, ANCASH)",1,maiz amilaceo,49,74
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020609,"SHILLA (CARHUAZ, ANCASH)",2,rye grass,29,39
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020609,"SHILLA (CARHUAZ, ANCASH)",3,maiz choclo,14,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020609,"SHILLA (CARHUAZ, ANCASH)",4,papa blanca,14,37
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020609,"SHILLA (CARHUAZ, ANCASH)",5,col,10,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020610,"TINCO (CARHUAZ, ANCASH)",1,maiz choclo,28,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020610,"TINCO (CARHUAZ, ANCASH)",2,melocotonero,21,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020610,"TINCO (CARHUAZ, ANCASH)",3,lima,13,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020610,"TINCO (CARHUAZ, ANCASH)",4,maiz chala,9,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020610,"TINCO (CARHUAZ, ANCASH)",5,palto,9,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020611,"YUNGAR (CARHUAZ, ANCASH)",1,alfalfa,31,45
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020611,"YUNGAR (CARHUAZ, ANCASH)",2,trigo,13,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020611,"YUNGAR (CARHUAZ, ANCASH)",3,papa blanca,7,9
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020611,"YUNGAR (CARHUAZ, ANCASH)",4,maiz amilaceo,6,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020611,"YUNGAR (CARHUAZ, ANCASH)",5,cebada forrajera,5,12
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020701,"SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH)",1,maiz amilaceo,27,26
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020701,"SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH)",2,papa blanca,17,12
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020701,"SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH)",3,trigo,14,9
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020701,"SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH)",4,col,8,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020701,"SAN LUIS (CARLOS FERMIN FITZCARRALD, ANCASH)",5,oca,7,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021001,"HUARI (HUARI, ANCASH)",1,maiz amilaceo,14,34
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021001,"HUARI (HUARI, ANCASH)",2,maiz choclo,5,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021001,"HUARI (HUARI, ANCASH)",3,palto,5,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021001,"HUARI (HUARI, ANCASH)",4,melocotonero,4,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021001,"HUARI (HUARI, ANCASH)",5,alfalfa,3,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021003,"CAJAY (HUARI, ANCASH)",1,alfalfa,NA,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021003,"CAJAY (HUARI, ANCASH)",2,arveja grano seco,NA,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021003,"CAJAY (HUARI, ANCASH)",3,avena forrajera,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021003,"CAJAY (HUARI, ANCASH)",4,cebada grano,NA,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021003,"CAJAY (HUARI, ANCASH)",5,cebolla china,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",1,papa blanca,53,38
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",2,cebada grano,25,30
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",3,maiz amilaceo,13,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",4,trigo,9,9
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021004,"CHAVIN DE HUANTAR (HUARI, ANCASH)",5,oca,7,12
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021007,"HUACHIS (HUARI, ANCASH)",1,alfalfa,NA,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021007,"HUACHIS (HUARI, ANCASH)",2,arveja grano seco,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021007,"HUACHIS (HUARI, ANCASH)",3,calabaza,NA,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021007,"HUACHIS (HUARI, ANCASH)",4,cebada grano,NA,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021007,"HUACHIS (HUARI, ANCASH)",5,chirimoyo,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",1,maiz amilaceo,29,16
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",2,trigo,24,11
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",3,papa blanca,15,12
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",4,cebada grano,11,6
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021008,"HUANTAR (HUARI, ANCASH)",5,alfalfa,10,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021009,"MASIN (HUARI, ANCASH)",1,chirimoyo,13,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021009,"MASIN (HUARI, ANCASH)",2,palto,11,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021009,"MASIN (HUARI, ANCASH)",3,maiz amilaceo,9,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021009,"MASIN (HUARI, ANCASH)",4,pacae,6,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021009,"MASIN (HUARI, ANCASH)",5,lima,4,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021014,"SAN MARCOS (HUARI, ANCASH)",1,maiz amilaceo,29,25
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021014,"SAN MARCOS (HUARI, ANCASH)",2,papa blanca,27,23
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021014,"SAN MARCOS (HUARI, ANCASH)",3,alfalfa,17,15
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021014,"SAN MARCOS (HUARI, ANCASH)",4,cebada grano,13,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021014,"SAN MARCOS (HUARI, ANCASH)",5,trigo,8,13
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",1,papa blanca,15,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",2,trigo,12,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",3,cebada grano,7,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",4,papa color,6,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021701,"RECUAY (RECUAY, ANCASH)",5,maiz amilaceo,5,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021710,"TICAPAMPA (RECUAY, ANCASH)",1,papa blanca,9,10
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021710,"TICAPAMPA (RECUAY, ANCASH)",2,alfalfa,4,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021710,"TICAPAMPA (RECUAY, ANCASH)",3,papa color,4,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021710,"TICAPAMPA (RECUAY, ANCASH)",4,pasto falaris,3,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",021710,"TICAPAMPA (RECUAY, ANCASH)",5,rye grass,3,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",022007,"SHUPLUY (YUNGAY, ANCASH)",1,alfalfa,1,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",022007,"SHUPLUY (YUNGAY, ANCASH)",2,cebada grano,1,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",022007,"SHUPLUY (YUNGAY, ANCASH)",3,higuera,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",022007,"SHUPLUY (YUNGAY, ANCASH)",4,lima,1,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",022007,"SHUPLUY (YUNGAY, ANCASH)",5,limon acido,1,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100313,"PACHAS (DOS DE MAYO, HUANUCO)",1,maiz amilaceo,24,26
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100313,"PACHAS (DOS DE MAYO, HUANUCO)",2,papa blanca,22,32
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100313,"PACHAS (DOS DE MAYO, HUANUCO)",3,alfalfa,15,17
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100313,"PACHAS (DOS DE MAYO, HUANUCO)",4,pasto falaris,9,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100313,"PACHAS (DOS DE MAYO, HUANUCO)",5,lechuga,8,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100501,"LLATA (HUAMALIES, HUANUCO)",1,papa blanca,65,42
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100501,"LLATA (HUAMALIES, HUANUCO)",2,avena forrajera,20,11
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100501,"LLATA (HUAMALIES, HUANUCO)",3,cebada grano,20,12
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100501,"LLATA (HUAMALIES, HUANUCO)",4,papa huayro,20,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",100501,"LLATA (HUAMALIES, HUANUCO)",5,maiz amilaceo,19,42
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",1,maiz chala,32,13
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",2,alfalfa,13,1
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",3,ajo,6,NA
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",4,pacae,3,NA
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040108,"LA JOYA (AREQUIPA, AREQUIPA)",5,cebada forrajera,2,NA
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040121,"SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA)",1,maiz chala,25,29
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040121,"SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA)",2,alcachofa,20,5
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040121,"SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA)",3,cebolla,6,2
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040121,"SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA)",4,alfalfa,5,8
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040121,"SANTA RITA DE SIGUAS (AREQUIPA, AREQUIPA)",5,palto,4,2
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",1,alfalfa,39,21
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",2,maiz chala,23,28
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",3,cebolla,8,3
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",4,papa blanca,6,6
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",5,algodon,5,NA
Intervención 2018,50,040520,"MAJES (CAYLLOMA, AREQUIPA)",040128,"YURA (AREQUIPA, AREQUIPA)",1,alfalfa,21,24
