intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ubigeo_vecino,distrito_vecino_completo,ranking,nombre_cultivo,freq_año_previo,freq_año_post
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",1,maiz amilaceo,21,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",2,trigo,13,4
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",3,papa blanca,12,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",4,maiz choclo,7,2
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020101,"HUARAZ (HUARAZ, ANCASH)",5,alfalfa,5,3
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020102,"COCHABAMBA (HUARAZ, ANCASH)",1,alfalfa,9,17
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020102,"COCHABAMBA (HUARAZ, ANCASH)",2,haba grano seco,6,10
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020102,"COCHABAMBA (HUARAZ, ANCASH)",3,papa blanca,6,11
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020102,"COCHABAMBA (HUARAZ, ANCASH)",4,cebolla china,3,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020102,"COCHABAMBA (HUARAZ, ANCASH)",5,palto,3,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",1,papa blanca,39,15
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",2,trigo,31,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",3,maiz amilaceo,26,15
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",4,alfalfa,13,8
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020105,"INDEPENDENCIA (HUARAZ, ANCASH)",5,cebada grano,13,NA
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020106,"JANGAS (HUARAZ, ANCASH)",1,alfalfa,24,24
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020106,"JANGAS (HUARAZ, ANCASH)",2,papa blanca,22,26
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020106,"JANGAS (HUARAZ, ANCASH)",3,maiz amilaceo,14,10
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020106,"JANGAS (HUARAZ, ANCASH)",4,trigo,14,40
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020106,"JANGAS (HUARAZ, ANCASH)",5,cebada grano,6,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",1,papa blanca,13,13
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",2,trigo,11,12
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",3,haba grano seco,9,10
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",4,alfalfa,3,7
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020108,"OLLEROS (HUARAZ, ANCASH)",5,arveja grano verde,2,5
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020109,"PAMPAS GRANDE (HUARAZ, ANCASH)",1,camote,NA,1
Intervención 2018,50,020108,"OLLEROS (HUARAZ, ANCASH)",020109,"PAMPAS GRANDE (HUARAZ, ANCASH)",2,carambola,NA,5
