ubigeo,distrito_nombre,nombre_cultivo,freq_2017_raw,freq_2019_raw
040520,"040520 - Majes (Caylloma, Arequipa)",menta,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",oregano,NA,6
040520,"040520 - Majes (Caylloma, Arequipa)",papaya,NA,8
040520,"040520 - Majes (Caylloma, Arequipa)",pasto natural manejado,NA,5
040520,"040520 - Majes (Caylloma, Arequipa)",peral,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",perejil,NA,2
040520,"040520 - Majes (Caylloma, Arequipa)",platano,NA,5
040520,"040520 - Majes (Caylloma, Arequipa)",rocoto,NA,3
040520,"040520 - Majes (Caylloma, Arequipa)",romero,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",ruda,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",toronja,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",yacon,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",zanahoria,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",zarzamora,NA,1
