ubigeo,distrito_nombre,nombre_cultivo,freq_2017_raw,freq_2019_raw
020108,"020108 - Olleros (Huaraz, Ancash)",papa blanca,13,13
020108,"020108 - Olleros (Huaraz, Ancash)",trigo,11,12
020108,"020108 - Olleros (Huaraz, Ancash)",haba grano seco,9,10
020108,"020108 - Olleros (Huaraz, Ancash)",alfalfa,3,7
020108,"020108 - Olleros (Huaraz, Ancash)",arveja grano verde,2,5
020108,"020108 - Olleros (Huaraz, Ancash)",cebada grano,2,2
020108,"020108 - Olleros (Huaraz, Ancash)",olluco,2,1
020108,"020108 - Olleros (Huaraz, Ancash)",quinua,2,NA
020108,"020108 - Olleros (Huaraz, Ancash)",cebada forrajera,1,NA
020108,"020108 - Olleros (Huaraz, Ancash)",maiz amilaceo,1,9
020108,"020108 - Olleros (Huaraz, Ancash)",mashua,1,NA
020108,"020108 - Olleros (Huaraz, Ancash)",oca,1,NA
020108,"020108 - Olleros (Huaraz, Ancash)",papa nativa,1,NA
020108,"020108 - Olleros (Huaraz, Ancash)",haba grano verde,NA,1
020108,"020108 - Olleros (Huaraz, Ancash)",maiz choclo,NA,2
040520,"040520 - Majes (Caylloma, Arequipa)",maiz chala,125,121
040520,"040520 - Majes (Caylloma, Arequipa)",alfalfa,57,37
040520,"040520 - Majes (Caylloma, Arequipa)",palto,22,26
040520,"040520 - Majes (Caylloma, Arequipa)",higuera,19,15
040520,"040520 - Majes (Caylloma, Arequipa)",cebolla,17,14
040520,"040520 - Majes (Caylloma, Arequipa)",pacae,15,26
040520,"040520 - Majes (Caylloma, Arequipa)",papa blanca,13,15
040520,"040520 - Majes (Caylloma, Arequipa)",tuna fruta,13,13
040520,"040520 - Majes (Caylloma, Arequipa)",manzano,11,13
040520,"040520 - Majes (Caylloma, Arequipa)",lucumo,9,9
040520,"040520 - Majes (Caylloma, Arequipa)",naranjo,9,12
040520,"040520 - Majes (Caylloma, Arequipa)",tomate,7,4
040520,"040520 - Majes (Caylloma, Arequipa)",vid,7,6
040520,"040520 - Majes (Caylloma, Arequipa)",granado,6,8
040520,"040520 - Majes (Caylloma, Arequipa)",chirimoyo,5,10
040520,"040520 - Majes (Caylloma, Arequipa)",paprika,5,5
040520,"040520 - Majes (Caylloma, Arequipa)",guayabo,4,15
040520,"040520 - Majes (Caylloma, Arequipa)",mandarina,4,12
040520,"040520 - Majes (Caylloma, Arequipa)",papa color,4,3
040520,"040520 - Majes (Caylloma, Arequipa)",quinua,4,11
040520,"040520 - Majes (Caylloma, Arequipa)",apio,3,1
040520,"040520 - Majes (Caylloma, Arequipa)",cebolla china,3,NA
040520,"040520 - Majes (Caylloma, Arequipa)",culantro,3,2
040520,"040520 - Majes (Caylloma, Arequipa)",hierba buena,3,NA
040520,"040520 - Majes (Caylloma, Arequipa)",huacatay,3,NA
040520,"040520 - Majes (Caylloma, Arequipa)",lima,3,3
040520,"040520 - Majes (Caylloma, Arequipa)",limon acido,3,20
040520,"040520 - Majes (Caylloma, Arequipa)",melocotonero,3,12
040520,"040520 - Majes (Caylloma, Arequipa)",pepinillo,3,NA
040520,"040520 - Majes (Caylloma, Arequipa)",poro,3,NA
040520,"040520 - Majes (Caylloma, Arequipa)",moringa,2,1
040520,"040520 - Majes (Caylloma, Arequipa)",vainita,2,1
040520,"040520 - Majes (Caylloma, Arequipa)",zapallo,2,2
040520,"040520 - Majes (Caylloma, Arequipa)",aji,1,2
040520,"040520 - Majes (Caylloma, Arequipa)",ajo,1,3
040520,"040520 - Majes (Caylloma, Arequipa)",alcachofa,1,13
040520,"040520 - Majes (Caylloma, Arequipa)",arveja grano verde,1,3
040520,"040520 - Majes (Caylloma, Arequipa)",frijol canario grano seco,1,NA
040520,"040520 - Majes (Caylloma, Arequipa)",granadilla,1,1
040520,"040520 - Majes (Caylloma, Arequipa)",haba grano verde,1,1
040520,"040520 - Majes (Caylloma, Arequipa)",kiwicha,1,NA
040520,"040520 - Majes (Caylloma, Arequipa)",mango,1,2
040520,"040520 - Majes (Caylloma, Arequipa)",membrillero,1,2
040520,"040520 - Majes (Caylloma, Arequipa)",morera,1,NA
040520,"040520 - Majes (Caylloma, Arequipa)",acelga,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",algodon,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",caigua,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",calabaza,NA,2
040520,"040520 - Majes (Caylloma, Arequipa)",chayote,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",ciruela del fraile,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",espinaca,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",flores de corte,NA,2
040520,"040520 - Majes (Caylloma, Arequipa)",fresa,NA,2
040520,"040520 - Majes (Caylloma, Arequipa)",hierba luisa,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",laurel,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",limon rugoso,NA,1
040520,"040520 - Majes (Caylloma, Arequipa)",maiz choclo,NA,1
